,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-10-02,45.529999,45.700001,44.310001,44.389999,39.722599,7988200
1,2019-10-03,44.23,44.599998,43.669998,44.560001,39.874722,6651900
2,2019-10-04,44.580002,45.490002,44.41,45.41,40.635345,4209200
3,2019-10-07,45.41,45.41,44.939999,44.950001,40.223717,3365700
4,2019-10-08,44.34,44.380001,43.82,43.830002,39.221481,5439100
5,2019-10-09,44.189999,44.610001,44.07,44.369999,39.7047,4273500
6,2019-10-10,44.77,45.369999,44.540001,44.959999,40.232662,3858200
7,2019-10-11,45.919998,46.610001,45.73,45.84,41.020138,5231900
8,2019-10-14,45.43,45.849998,45.369999,45.75,40.939598,2102100
9,2019-10-15,45.970001,46.59,45.830002,46.189999,41.333332,3088800
10,2019-10-16,46.110001,46.630001,45.889999,45.959999,41.127514,4326500
11,2019-10-17,46.32,46.459999,45.73,45.900002,41.073826,4172200
12,2019-10-18,45.98,46.25,45.900002,46.099998,41.252792,5058100
13,2019-10-21,46.549999,46.759998,46.400002,46.540001,41.646534,4353700
14,2019-10-22,46.450001,46.66,46.110001,46.509998,41.619686,3450000
15,2019-10-23,46.439999,46.610001,46.23,46.549999,41.655483,3068000
16,2019-10-24,46.610001,46.93,45.93,46.279999,41.413876,3025900
17,2019-10-25,46.02,46.509998,46.02,46.32,41.449661,2163200
18,2019-10-28,46.540001,47.139999,46.540001,46.810001,41.888149,4108600
19,2019-10-29,46.619999,47.049999,46.439999,46.68,41.771816,3743100
20,2019-10-30,46.630001,46.709999,45.830002,46.290001,41.422825,5272800
21,2019-10-31,45.990002,46.950001,45.330002,46.790001,41.870247,7023100
22,2019-11-01,47.009998,47.439999,46.77,47.259998,42.290825,5733600
23,2019-11-04,47.209999,47.709999,47.18,47.59,42.986336,6564300
24,2019-11-05,47.75,48.57,47.59,48.380001,43.699924,6157800
25,2019-11-06,48.360001,48.720001,48.040001,48.599998,43.898636,5150300
26,2019-11-07,49.07,49.610001,48.93,49.040001,44.296074,5999900
27,2019-11-08,49.099998,49.34,48.490002,49.32,44.548992,6446200
28,2019-11-11,48.82,49.48,48.810001,49.220001,44.458668,4322700
29,2019-11-12,49.310001,49.869999,49.18,49.580002,44.783836,4672500
30,2019-11-13,49.119999,49.41,48.93,49.259998,44.494785,3984800
31,2019-11-14,49.150002,49.470001,48.959999,49.299999,44.530922,3034800
32,2019-11-15,49.610001,49.73,49.169998,49.27,44.503826,3298100
33,2019-11-18,49.07,49.189999,48.77,49.119999,44.368336,3679000
34,2019-11-19,49.27,49.540001,49.110001,49.150002,44.395439,4000600
